Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-01-01,2024-01-03,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-01-01,2024-01-03,1234,SUNSET APARTMENTS RENT,,1800.00,
2024-01-02,2024-01-04,1234,WHOLE FOODS #456,,73.32,
2024-01-03,2024-01-05,1234,NETFLIX.COM,,15.99,
2024-01-05,2024-01-07,1234,SPOTIFY USA,,11.99,
2024-01-05,2024-01-07,1234,KROGER #1123,,33.92,
2024-01-07,2024-01-09,1234,PLANET FITNESS,,24.99,
2024-01-09,2024-01-11,1234,COMCAST XFINITY,,60.00,
2024-01-09,2024-01-11,1234,AMAZON.COM*A1B2,,57.21,
2024-01-11,2024-01-13,1234,T-MOBILE PCS SVC,,70.00,
2024-01-11,2024-01-13,1234,TRADER JOE'S #221,,85.59,
2024-01-15,2024-01-17,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-01-17,2024-01-19,1234,WHOLE FOODS #456,,30.92,
2024-01-23,2024-01-25,1234,TRADER JOE'S #221,,87.63,
2024-02-01,2024-02-03,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-02-01,2024-02-03,1234,SUNSET APARTMENTS RENT,,1800.00,
2024-02-02,2024-02-04,1234,LYFT *RIDE,,86.32,
2024-02-03,2024-02-05,1234,NETFLIX.COM,,15.99,
2024-02-05,2024-02-07,1234,SPOTIFY USA,,11.99,
2024-02-07,2024-02-09,1234,PLANET FITNESS,,24.99,
2024-02-09,2024-02-11,1234,COMCAST XFINITY,,60.00,
2024-02-11,2024-02-13,1234,T-MOBILE PCS SVC,,70.00,
2024-02-11,2024-02-13,1234,STARBUCKS #0912,,115.12,
2024-02-12,2024-02-14,1234,WHOLE FOODS #456,,49.31,
2024-02-13,2024-02-15,1234,BEST BUY #401,,20.23,
2024-02-15,2024-02-17,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-02-15,2024-02-17,1234,CHIPOTLE 1442,,49.33,
2024-02-18,2024-02-20,1234,BEST BUY #401,,1299.00,
2024-02-20,2024-02-22,1234,KROGER #1123,,100.55,
2024-02-24,2024-02-26,1234,SHELL OIL 5567,,98.01,
2024-02-28,2024-03-01,1234,MCDONALD'S F1123,,118.32,
2024-03-01,2024-03-03,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-03-01,2024-03-03,1234,SUNSET APARTMENTS RENT,,1800.00,
2024-03-03,2024-03-05,1234,NETFLIX.COM,,15.99,
2024-03-05,2024-03-07,1234,SPOTIFY USA,,11.99,
2024-03-06,2024-03-08,1234,UBER *TRIP,,75.44,
2024-03-07,2024-03-09,1234,PLANET FITNESS,,24.99,
2024-03-07,2024-03-09,1234,CHEVRON 220,,36.52,
2024-03-08,2024-03-10,1234,AMAZON.COM*A1B2,,36.20,
2024-03-09,2024-03-11,1234,COMCAST XFINITY,,60.00,
2024-03-09,2024-03-11,1234,STARBUCKS #0912,,58.70,
2024-03-11,2024-03-13,1234,T-MOBILE PCS SVC,,70.00,
2024-03-13,2024-03-15,1234,LYFT *RIDE,,80.72,
2024-03-15,2024-03-17,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-03-18,2024-03-20,1234,WHOLE FOODS #456,,512.40,
2024-03-22,2024-03-24,1234,MCDONALD'S F1123,,46.50,
2024-03-25,2024-03-27,1234,MCDONALD'S F1123,,102.09,
2024-03-26,2024-03-28,1234,TRADER JOE'S #221,,99.69,
2024-04-01,2024-04-03,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-04-01,2024-04-03,1234,SUNSET APARTMENTS RENT,,1800.00,
2024-04-03,2024-04-05,1234,NETFLIX.COM,,15.99,
2024-04-04,2024-04-06,1234,LYFT *RIDE,,63.88,
2024-04-05,2024-04-07,1234,SPOTIFY USA,,11.99,
2024-04-05,2024-04-07,1234,LYFT *RIDE,,119.70,
2024-04-07,2024-04-09,1234,PLANET FITNESS,,24.99,
2024-04-09,2024-04-11,1234,COMCAST XFINITY,,60.00,
2024-04-11,2024-04-13,1234,T-MOBILE PCS SVC,,70.00,
2024-04-13,2024-04-15,1234,CHEVRON 220,,108.35,
2024-04-13,2024-04-15,1234,BEST BUY #401,,13.24,
2024-04-14,2024-04-16,1234,SHELL OIL 5567,,18.72,
2024-04-15,2024-04-17,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-04-18,2024-04-20,1234,BEST BUY #401,,34.66,
2024-04-18,2024-04-20,1234,WHOLE FOODS #456,,83.71,
2024-04-18,2024-04-20,1234,BEST BUY #401,,1499.99,
2024-04-24,2024-04-26,1234,DOORDASH*PANDA,,6.37,
2024-04-26,2024-04-28,1234,TRADER JOE'S #221,,77.53,
2024-04-28,2024-04-30,1234,AMAZON.COM*A1B2,,92.16,
2024-05-01,2024-05-03,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-05-01,2024-05-03,1234,SUNSET APARTMENTS RENT,,1800.00,
2024-05-03,2024-05-05,1234,NETFLIX.COM,,15.99,
2024-05-04,2024-05-06,1234,KROGER #1123,,61.70,
2024-05-05,2024-05-07,1234,SPOTIFY USA,,11.99,
2024-05-06,2024-05-08,1234,STARBUCKS #0912,,48.63,
2024-05-07,2024-05-09,1234,PLANET FITNESS,,24.99,
2024-05-08,2024-05-10,1234,SHELL OIL 5567,,33.30,
2024-05-09,2024-05-11,1234,COMCAST XFINITY,,60.00,
2024-05-11,2024-05-13,1234,T-MOBILE PCS SVC,,70.00,
2024-05-15,2024-05-17,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-05-16,2024-05-18,1234,TRADER JOE'S #221,,20.64,
2024-05-18,2024-05-20,1234,CHIPOTLE 1442,,388.75,
2024-05-20,2024-05-22,1234,MCDONALD'S F1123,,66.15,
2024-05-22,2024-05-24,1234,MCDONALD'S F1123,,51.49,
2024-05-25,2024-05-27,1234,AMAZON.COM*A1B2,,111.90,
2024-05-27,2024-05-29,1234,WHOLE FOODS #456,,89.44,
2024-06-01,2024-06-03,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-06-01,2024-06-03,1234,SUNSET APARTMENTS RENT,,1800.00,
2024-06-02,2024-06-04,1234,TRADER JOE'S #221,,13.68,
2024-06-03,2024-06-05,1234,NETFLIX.COM,,15.99,
2024-06-03,2024-06-05,1234,SUBWAY 33021,,31.10,
2024-06-05,2024-06-07,1234,SPOTIFY USA,,11.99,
2024-06-07,2024-06-09,1234,PLANET FITNESS,,24.99,
2024-06-08,2024-06-10,1234,BEST BUY #401,,57.47,
2024-06-09,2024-06-11,1234,COMCAST XFINITY,,60.00,
2024-06-09,2024-06-11,1234,UBER *TRIP,,64.61,
2024-06-11,2024-06-13,1234,T-MOBILE PCS SVC,,70.00,
2024-06-15,2024-06-17,1234,DIRECT DEPOSIT EMPLOYER PAYROLL,,,2200.00
2024-06-18,2024-06-20,1234,SHELL OIL 5567,,415.60,
2024-06-19,2024-06-21,1234,CHIPOTLE 1442,,44.54,
2024-06-22,2024-06-24,1234,AMAZON.COM*A1B2,,16.75,
2024-06-24,2024-06-26,1234,AMAZON.COM*A1B2,,67.47,
2024-06-26,2024-06-28,1234,AMAZON.COM*A1B2,,95.45,
